lexeme_id,POS,frequency,frequency_Antiquitas,frequency_AetasPatrum,frequency_MediumAeuum,frequency_RecentiorLatinitas
aedifico_v,verb,17964,611,9399,7684,270
aeger_n,noun,3239,1281,1201,715,42
aegresco_v,verb,98,9,66,20,3
aegroto_v,verb,2601,171,1446,896,88
aemulor/-o_v,verb,2564,217,1022,1306,19
aequipero_v,verb,194,53,95,46,0
aequo_v,verb,6127,2141,2083,1531,372
aequor_n,noun,3605,2225,1023,327,30
aequum_n,noun,8948,2975,3067,2319,587
aer_n,noun,15519,1735,3303,8352,2129
aerumna_n,noun,2174,263,1181,699,31
aes_n,noun,14029,3099,4172,5751,1007
aestas_n,noun,2273,790,765,666,52
aestimo_v,verb,16458,1650,7588,6524,696
aestuo/-or_v,verb,2900,252,1327,1273,48
aestus_n,noun,7875,1935,3297,2323,320
aetas_n,noun,17380,3545,7805,5464,566
aeterno_v,verb,15632,239,4707,10099,587
aether_n,noun,1003,408,325,152,118
aeuum_n,noun,4465,1100,1412,1754,199
affecto/-or_v,verb,3119,66,882,1910,261
affectus_n,noun,37399,786,8673,23962,3978
affero_v,verb,10567,1629,2508,5422,1008
afficio_v,verb,34119,489,9348,21630,2652
affigo_v,verb,2353,99,498,1606,150
affingo_v,verb,160,8,26,18,108
affirmo_v,verb,6465,138,1065,3992,1270
afflicto_v,verb,302,10,117,169,6
affligo_v,verb,9455,243,3075,6043,94
afflo_v,verb,1108,58,321,654,75
affluo_v,verb,3049,114,756,2088,91
affor_v,verb,666,48,86,530,2
affrico_v,verb,142,4,2,122,14
affulgeo_v,verb,72,2,17,13,40
affundo_v,verb,173,65,10,52,46
ager_n,noun,19872,6366,6996,6324,186
agger_n,noun,1138,420,495,219,4
aggero1_v,verb,604,224,242,136,2
aggero2_v,verb,454,168,210,76,0
agglomero_v,verb,23,3,3,15,2
agglutino_v,verb,105,0,39,63,3
aggrauo_v,verb,2299,3,475,1807,14
aggredior/-io_v,verb,3492,138,462,2709,183
aggrego_v,verb,1991,3,269,1351,368
agito_v,verb,5918,1776,1937,1760,445
agmen_n,noun,7254,3326,1942,1904,82
agnosco_v,verb,20425,729,11754,6570,1372
ago_v,verb,258211,21131,58791,167977,10312
agricola_n,noun,4726,890,1918,1831,87
aio_v,verb,56926,3181,26491,26589,665
ala_n,noun,6273,1179,2112,2897,85
albeo_v,verb,582,179,259,143,1
albesco_v,verb,254,57,86,108,3
albico/-or_v,verb,147,90,24,15,18
ales_n,noun,1054,490,367,185,12
algeo_v,verb,523,151,256,116,0
alieno_v,verb,11357,1203,5767,4111,276
alienum_n,noun,32463,3939,15591,12236,697
alimentum_n,noun,6560,790,2579,2879,312
allabor_v,verb,129,9,37,82,1
allaboro_v,verb,25,0,0,21,4
alle'uo_v,verb,254,28,80,124,22
allego1_v,verb,3472,30,856,2406,180
allego2_v,verb,708,69,307,308,24
allicefacio_v,verb,0,0,0,0,0
allicio_v,verb,1590,124,234,1143,89
allido_v,verb,368,4,122,236,6
alligo_v,verb,5328,682,2124,2391,131
allino_v,verb,5,1,0,2,2
alloquor_v,verb,2352,51,729,1509,63
alluceo_v,verb,30,7,11,12,0
alludo_v,verb,601,4,102,479,16
alluo_v,verb,137,35,43,56,3
alo_v,verb,48703,10670,15968,21155,910
altercor/-o_v,verb,559,97,219,217,26
alterno_v,verb,1322,252,525,519,26
altitudo_n,noun,7195,797,2773,3294,331
altum_n,noun,20174,3875,6724,9269,306
alueus_n,noun,1236,394,423,401,18
ambedo_v,verb,30,10,13,7,0
ambigo_v,verb,2574,156,1443,923,52
ambio_v,verb,7817,912,2675,3505,725
ambitio_n,noun,2518,396,926,1091,105
ambitus_n,noun,4023,1064,1461,1275,223
ambulo_v,verb,23140,673,11197,10974,296
amburo_v,verb,983,694,179,103,7
amica_n,noun,9849,1865,2563,5243,178
amicio_v,verb,9371,1363,2689,5198,121
amicitia_n,noun,15193,3431,2598,8769,395
amictus_n,noun,3219,530,1220,1452,17
amicus_n,noun,29124,5079,7677,15901,467
amitto_v,verb,22530,4031,9676,8425,398
amnis_n,noun,4267,2706,982,533,46
amo_v,verb,69097,6406,17717,42536,2438
amolior_v,verb,188,95,46,20,27
amor_n,noun,40867,4061,8166,26619,2021
amoueo_v,verb,3752,319,1400,1848,185
amplector/-o_v,verb,8909,1186,2772,4509,442
amplexor/-o_v,verb,1838,140,375,1306,17
amplifico_v,verb,1043,287,223,423,110
amputo_v,verb,3705,418,1961,1307,19
ango_v,verb,773,215,272,268,18
anguis_n,noun,1444,754,435,240,15
angulus_n,noun,7313,464,1587,3271,1991
angustia_n,noun,9556,651,3667,5113,125
angusto_v,verb,1625,266,735,582,42
anhelo_v,verb,2417,354,734,1308,21
anima_n,noun,253260,3712,79336,164413,5799
animaduerto_v,verb,7610,1861,2476,2472,801
animal_n,noun,51584,3057,14007,32248,2272
animo_v,verb,74883,4112,25387,42793,2591
animus_n,noun,76992,19093,24605,28134,5160
anno_v,verb,11012,1353,2991,6580,88
annus_n,noun,68883,8936,24619,34178,1150
anquiro_v,verb,92,77,9,3,3
antecapio_v,verb,20,14,3,3,0
antecedo_v,verb,8120,620,1518,4765,1217
antecello_v,verb,247,37,96,91,23
antecurro_v,verb,11,7,1,3,0
anteeo_v,verb,260,98,81,81,0
antefero_v,verb,739,135,367,225,12
antehabeo_v,verb,12,2,1,7,2
antepono_v,verb,1695,339,764,547,45
antesto_v,verb,34,9,19,6,0
anteuenio_v,verb,131,34,52,45,0
anteuerto/-or_v,verb,61,16,10,0,35
anticipo_v,verb,775,24,256,400,95
antiqui_n,noun,9949,1237,2709,5596,407
antrum_n,noun,1863,715,665,417,66
anus_n,noun,2893,1246,736,859,52
aper_n,noun,1229,555,318,340,16
aperio_v,verb,53929,4586,21616,26580,1147
apertum_n,noun,13375,1496,5304,6280,295
apis_n,noun,2392,689,650,1018,35
apiscor_v,verb,17700,2871,5335,7641,1853
apologo_v,verb,5,3,2,0,0
apparatus_n,noun,2665,708,775,1005,177
appareo_v,verb,35347,1414,10438,21860,1635
apparo_v,verb,10015,1227,2240,5932,616
appellito_v,verb,16,9,3,1,3
appello1_v,verb,32333,6502,14568,10052,1211
appello2_v,verb,11073,2096,4679,3636,662
appendo_v,verb,1870,22,400,1299,149
appeto_v,verb,26890,522,5202,20113,1053
applaudo_v,verb,631,10,38,564,19
applico_v,verb,6301,112,895,4138,1156
appono_v,verb,8859,434,1580,6331,514
apporto_v,verb,491,35,93,347,16
apprecor_v,verb,1,0,0,1,0
apprehendo_v,verb,10034,51,1393,8376,214
apprimo_v,verb,157,3,28,43,83
approbo_v,verb,6472,285,1712,3910,565
appropero_v,verb,21,13,2,6,0
appropinquo_v,verb,4241,95,892,3211,43
appugno_v,verb,3,0,3,0,0
apto_v,verb,5613,700,2176,2397,340
aqua_n,noun,97986,11481,30929,50163,5413
aquila_n,noun,9265,781,4715,3673,96
aquor_v,verb,301,148,47,106,0
ara_n,noun,5091,1646,1763,1633,49
aratrum_n,noun,1755,466,617,660,12
arbiter_n,noun,2719,433,1499,677,110
arbitrium_n,noun,21591,1013,8395,11323,860
arbitror/-o_v,verb,13798,2079,6063,5300,356
arbor_n,noun,16338,2927,6269,6755,387
arceo_v,verb,3964,1063,1339,1375,187
arcesso_v,verb,1103,650,352,64,37
architecto/-or_v,verb,92,22,9,35,26
arcus_n,noun,8719,1877,2536,3192,1114
ardeo_v,verb,21494,2930,7243,11016,305
ardesco_v,verb,2059,336,755,954,14
ardor_n,noun,4474,713,1638,2051,72
areo_v,verb,2858,426,1274,1137,21
aresco_v,verb,1941,126,855,957,3
argentum_n,noun,15322,2530,6642,5889,261
argumentor_v,verb,1940,273,599,751,317
argumentum_n,noun,15807,2602,5516,5597,2092
arguo_v,verb,16984,1055,6281,9409,239
arguto/-or_v,verb,128,46,39,24,19
arieto_v,verb,1099,92,634,361,12
arma_n,noun,29710,11902,7786,9677,345
armentum_n,noun,1903,522,691,689,1
armo_v,verb,23174,7819,6886,8189,280
aro_v,verb,4613,1629,1493,1449,42
arrepo_v,verb,21,1,0,19,1
arrideo_v,verb,1023,88,321,575,39
arrigo_v,verb,434,187,38,189,20
arripio_v,verb,4375,445,1287,2524,119
arrodo_v,verb,18,2,7,6,3
arrogo_v,verb,4458,128,2329,1899,102
ars_n,noun,23962,4698,5892,11229,2143
artifex_n,noun,5933,669,1980,3081,203
arto_v,verb,5355,1088,1382,2440,445
artus_n,noun,7458,3081,2377,1899,101
aruum_n,noun,3251,1598,1118,521,14
arx_n,noun,3294,1374,965,912,43
ascendo_v,verb,46330,546,16347,28728,709
ascisco_v,verb,1042,73,315,640,14
ascribo_v,verb,2384,104,547,1697,36
aspecto_v,verb,227,52,115,58,2
aspectus_n,noun,9525,710,3502,4890,423
aspergo_v,verb,2782,325,913,1486,58
aspernor_v,verb,1275,496,339,407,33
aspero_v,verb,1564,387,583,569,25
aspicio_v,verb,17005,1677,5771,9195,362
aspiro_v,verb,2139,68,361,1643,67
asporto_v,verb,702,78,122,487,15
assector_v,verb,16,1,0,6,9
assentio/-ior_v,verb,5443,62,726,4126,529
assentor_v,verb,123,3,45,55,20
assequor_v,verb,2543,86,442,1603,412
assero1_v,verb,10441,60,4009,5879,493
