lexeme_id,POS,frequency,frequency_Antiquitas,frequency_AetasPatrum,frequency_MediumAeuum,frequency_RecentiorLatinitas
colluo_v,verb,101,87,9,1,4
collustro_v,verb,264,1,69,110,84
colo_v,verb,41196,5577,15873,17706,2040
colonia_n,noun,2766,1569,354,830,13
colonus_n,noun,2419,710,1262,437,10
color_n,noun,13082,2332,2823,7081,846
coloro_v,verb,6143,606,1075,4106,356
columbor_v,verb,4,2,0,2,0
columna_n,noun,7448,946,3033,3329,140
coma_n,noun,3394,1435,883,972,104
combibo_v,verb,113,22,40,47,4
comburo_v,verb,4690,539,752,3270,129
comedo_v,verb,18381,126,4923,13235,97
comes_n,noun,15701,2005,2768,10797,131
comissor_v,verb,73,69,4,0,0
comitatus_n,noun,3696,652,768,2216,60
comitium_n,noun,2064,1900,94,46,24
comitor/-o_v,verb,11155,1890,3203,5799,263
commaculo_v,verb,386,8,185,182,11
commeatus_n,noun,2183,1338,563,253,29
commemoro_v,verb,12034,765,7601,3390,278
commendo_v,verb,18792,923,7068,10250,551
commentor/-o_v,verb,1847,175,446,1160,66
commeo_v,verb,2038,741,900,361,36
commercium_n,noun,2843,367,969,1159,348
commercor_v,verb,22,11,11,0,0
commigro_v,verb,123,26,36,54,7
commingo_v,verb,0,0,0,0,0
comminiscor/-o_v,verb,4111,521,1878,1252,460
comminuo_v,verb,1944,140,835,950,19
commisceo_v,verb,3515,282,1224,1921,88
committo_v,verb,32652,3266,11292,17228,866
commodo_v,verb,3965,523,2462,768,212
commodum_n,noun,8643,1732,3126,2827,958
commolior/-io_v,verb,155,13,51,91,0
commonefacio_v,verb,184,35,22,105,22
commonstro_v,verb,45,21,0,0,24
commordeo_v,verb,9,1,1,7,0
commorior_v,verb,582,38,168,358,18
commoror/-o_v,verb,3522,235,1206,1986,95
commoueo_v,verb,9862,1402,4544,3708,208
communico/-or_v,verb,12305,427,2961,8244,673
communio_v,verb,12247,974,3330,6932,1011
commuto_v,verb,5563,714,2341,2371,137
como1_v,verb,8480,1275,1485,5659,61
como2_v,verb,4820,1024,628,3101,67
compareo_v,verb,1181,113,338,617,113
comparo1_v,verb,18823,1921,6669,8616,1617
comparo2_v,verb,18823,1921,6669,8616,1617
compedio_v,verb,604,40,243,316,5
compello1_v,verb,7340,648,2924,3659,109
compello2_v,verb,1441,161,513,714,53
compenso_v,verb,997,54,417,459,67
comperio/-ior_v,verb,8284,1238,2700,3932,414
compesco_v,verb,1840,169,476,1144,51
competo_v,verb,12652,97,5295,6600,660
compilo_v,verb,287,19,46,212,10
compingo_v,verb,2091,167,502,1289,133
complano_v,verb,316,41,65,199,11
complector/-o_v,verb,6342,1411,1666,2446,819
compleo_v,verb,24257,579,7669,15193,816
complexus_n,noun,3720,1005,1193,1266,256
complico_v,verb,771,25,178,455,113
complodo_v,verb,185,24,11,149,1
comploro_v,verb,79,53,12,14,0
compono_v,verb,46049,3320,5943,30812,5974
comporto_v,verb,661,101,134,404,22
comprecor_v,verb,24,13,1,0,10
comprehendo_v,verb,16512,812,4806,10053,841
comprimo_v,verb,3830,825,1093,1569,343
comprobo_v,verb,3790,321,1386,1944,139
compungo_v,verb,2733,4,1004,1723,2
computo_v,verb,4904,125,1686,2918,175
conatus_n,noun,10322,1775,3282,3345,1920
concaleo_v,verb,76,10,18,48,0
concalesco_v,verb,135,17,43,75,0
concallesco_v,verb,5,2,3,0,0
concauo_v,verb,291,56,87,119,29
concedo_v,verb,34186,3723,11970,16959,1534
concelebro_v,verb,390,36,185,155,14
concerto/-or_v,verb,440,25,159,243,13
conci'do_v,verb,2022,501,898,589,34
"conci\do""_v",verb,3455,974,1448,918,115
concieo_v,verb,1492,600,536,352,4
concilio_v,verb,6294,850,1900,3047,497
concilium_n,noun,15355,1057,5368,7841,1089
concinno_v,verb,847,101,369,255,122
concino_v,verb,2515,194,1177,1065,79
concio_v,verb,1811,648,646,512,5
concipio_v,verb,26237,1859,7201,13550,3627
concito_v,verb,4335,1475,1462,1306,92
conclamo_v,verb,1108,280,320,496,12
concludo_v,verb,15035,646,4718,8618,1053
concoquo_v,verb,336,219,66,35,16
concordia_n,noun,7572,1165,2631,3605,171
concordo_v,verb,9927,55,1249,8577,46
concredo_v,verb,256,49,46,29,132
concremo_v,verb,1261,51,565,639,6
concrepo_v,verb,663,41,322,300,0
concresco_v,verb,6408,649,1117,4136,506
conculco_v,verb,3532,21,1284,2183,44
concumbo_v,verb,850,81,459,309,1
concupio_v,verb,1733,107,613,1011,2
concupisco_v,verb,20771,383,7966,12360,62
concurro_v,verb,7658,1073,2269,3706,610
concurso_v,verb,145,122,9,8,6
concursus_n,noun,2474,749,510,1015,200
concutio_v,verb,4803,814,1815,2077,97
condecoro_v,verb,114,25,22,54,13
condemno_v,verb,7694,762,3859,3006,67
condicio_n,noun,9127,1654,5762,1158,553
condico_v,verb,1535,63,531,899,42
condio_v,verb,19892,3384,9215,6806,487
condisco_v,verb,126,44,73,8,1
condo_v,verb,25717,4208,11911,8730,868
condoleo_v,verb,1528,11,231,1271,15
condolesco_v,verb,123,14,17,91,1
condono_v,verb,1056,104,271,612,69
condormio_v,verb,15,4,9,2,0
conduco_v,verb,4539,880,1725,1650,284
conecto_v,verb,2487,559,1628,294,6
confarreo_v,verb,20,20,0,0,0
confercio_v,verb,1190,434,370,351,35
confero_v,verb,32208,2438,9572,18733,1465
conficio_v,verb,12112,3339,3819,4095,859
confido_v,verb,13103,842,4574,7406,281
configo_v,verb,1786,231,742,807,6
confingo_v,verb,1827,178,879,612,158
confio_v,verb,65,24,35,1,5
confirmo_v,verb,20322,1583,7501,10298,940
confiteor_v,verb,35526,1677,16408,17104,337
conflagro_v,verb,356,60,97,186,13
conflicto_v,verb,234,93,68,40,33
confligo_v,verb,3269,303,1510,1371,85
conflo_v,verb,2196,271,896,697,332
confluo_v,verb,2277,193,574,1450,60
confodio_v,verb,1216,231,511,466,8
conformo_v,verb,3404,129,423,2380,472
confringo_v,verb,5214,126,2150,2916,22
"confu\to""_v",verb,1509,50,637,742,80
confugio_v,verb,3731,421,1592,1654,64
confundo_v,verb,17774,1218,6981,7696,1879
confutuo_v,verb,2,2,0,0,0
congelo_v,verb,651,37,94,447,73
congemo_v,verb,46,8,18,20,0
congero_v,verb,3353,955,1123,1170,105
conglobo_v,verb,657,179,220,256,2
congredior_v,verb,2462,617,748,987,110
congrego_v,verb,23462,255,9462,13241,504
congruo_v,verb,11495,693,3938,6175,689
conicio_v,verb,7200,2843,2379,1535,443
coniecto/-or_v,verb,837,239,227,303,68
coniugium_n,noun,8593,418,3001,5097,77
coniungo_v,verb,31292,2780,8579,17699,2234
coniuratio_n,noun,704,292,226,178,8
coniuro_v,verb,1213,406,393,405,9
connitor_v,verb,38,0,3,24,11
conniueo_v,verb,250,6,85,140,19
conor_v,verb,12809,1903,4961,4388,1557
conqueror_v,verb,3310,248,914,2086,62
conquiesco_v,verb,699,107,300,279,13
conquiro_v,verb,2270,429,1024,749,68
consaluto_v,verb,121,61,9,51,0
conscelero_v,verb,167,91,69,1,6
conscendo_v,verb,3822,397,1549,1831,45
conscientia_n,noun,29525,1070,10858,16464,1133
conscisco_v,verb,296,102,96,94,4
conscribillo_v,verb,2,2,0,0,0
conscribo_v,verb,10277,2344,4970,2718,245
consecro/-or_v,verb,13080,595,3450,8865,170
consector_v,verb,609,217,241,126,25
consenesco_v,verb,278,79,100,95,4
consensus_n,noun,11750,759,2481,7613,897
consentio_v,verb,27369,1275,10076,14594,1424
consequor_v,verb,71591,2669,19567,46778,2577
consero1_v,verb,1883,629,556,673,25
consero2_v,verb,2449,741,808,882,18
conseruo_v,verb,15179,1442,3229,9291,1217
considero_v,verb,64756,1284,14649,46154,2669
consido_v,verb,5111,691,2009,2223,188
consigno_v,verb,1418,119,535,711,53
consilior_v,verb,1451,32,148,1271,0
consilium_n,noun,57006,9357,14096,32212,1341
consipio_v,verb,9,6,2,1,0
consisto_v,verb,18567,1487,5683,10044,1353
consocio_v,verb,864,101,285,316,162
consolo/-or_v,verb,9952,472,3388,6061,31
consono_v,verb,7670,150,2657,4755,108
conspectus_n,noun,9446,1005,4532,3825,84
conspicio_v,verb,21829,2729,9835,8742,523
conspicor/-o_v,verb,370,145,130,94,1
conspiro_v,verb,1309,105,567,456,181
conspuo_v,verb,638,12,166,456,4
constantia_n,noun,6563,1048,1742,3536,237
consterno1_v,verb,661,248,180,223,10
consterno2_v,verb,1016,273,304,427,12
constipo_v,verb,373,2,163,147,61
constituo_v,verb,70443,5641,32730,28244,3828
constitutio_n,noun,5268,356,2788,1680,444
consto_v,verb,30241,3524,10967,13166,2584
constringo_v,verb,5122,474,2337,2191,120
construo_v,verb,8327,158,3144,4697,328
constupro_v,verb,220,17,125,78,0
consuefacio_v,verb,31,9,4,13,5
consuesco_v,verb,9105,563,2764,5437,341
consuetudo_n,noun,12602,1384,4327,6416,475
consul_n,noun,15438,10706,3146,1537,49
consulatus_n,noun,3629,2584,864,161,20
consulo_v,verb,28504,8763,11223,7740,778
consulto/-or_v,verb,2140,1040,696,365,39
consultum_n,noun,6065,2232,2787,901,145
consummo_v,verb,15147,412,5354,9203,178
consumo_v,verb,14528,1819,6060,6453,196
consuo_v,verb,1318,227,607,448,36
consurgo_v,verb,6235,359,2565,3290,21
contabulo_v,verb,44,14,23,7,0
contamino_v,verb,2809,177,1444,1164,24
contego_v,verb,2016,466,894,625,31
contemno_v,verb,30790,2355,12571,15236,628
contemplatio_n,noun,7149,117,1894,4779,359
contemplo/-or_v,verb,10590,345,3098,6386,761
contemptus_n,noun,8211,517,2300,5185,209
contendo_v,verb,25056,4104,7614,11728,1610
contentio_n,noun,5006,791,2282,1810,123
contero_v,verb,11850,1090,4488,6193,79
conterreo_v,verb,546,160,190,196,0
contestor_v,verb,3017,48,1775,1179,15
contexo_v,verb,4002,344,1910,1620,128
conticesco_v,verb,511,65,202,243,1
contineo_v,verb,54088,5757,16408,28760,3163
contingo1_v,verb,29242,1140,4983,20305,2814
contingo2_v,verb,37229,2036,7174,24742,3277
continuo_v,verb,12106,1054,3425,6527,1100
contio_n,noun,1700,1225,215,260,0
contionor_v,verb,411,168,149,94,0
contorqueo_v,verb,1155,467,295,324,69
contraho_v,verb,16680,1707,5102,9207,664
contrarium_n,noun,50121,2224,14242,31026,2629
contrecto_v,verb,1012,73,658,274,7
contremisco_v,verb,706,15,299,388,4
contremo_v,verb,259,16,121,122,0
contribuo_v,verb,486,104,285,66,31
contrico_v,verb,1,1,0,0,0
contristo_v,verb,4967,38,2107,2780,42
controuersia_n,noun,4484,1542,1649,1027,266
contrucido_v,verb,31,27,4,0,0
contueor_v,verb,2111,110,963,1003,35
contumelia_n,noun,6632,993,2908,2607,124
contundo_v,verb,1758,1030,260,421,47
conturbo_v,verb,4492,179,2310,1984,19
conualesco_v,verb,1904,220,567,1093,24
conubium_n,noun,1260,379,593,288,0
conuecto_v,verb,62,21,22,19,0
conueho/-or_v,verb,449,231,67,145,6
conuello_v,verb,1593,598,528,424,43
conuenio_v,verb,66608,4664,17293,42316,2335
conuerbero_v,verb,37,18,0,19,0
conuerro_v,verb,38025,1715,10285,25570,455
conuerso/-or_v,verb,9397,227,2099,6973,98
conuerto_v,verb,64640,2679,19929,40966,1066
conuicior_v,verb,548,38,252,257,1
conuicium_n,noun,2492,566,1194,702,30
conuinco_v,verb,7454,391,3922,2907,234
conuiua_n,noun,1441,440,377,481,143
conuiuium_n,noun,9415,1288,3581,4358,188
conuiuo_v,verb,4435,425,1916,1913,181
conuiuor/-o_v,verb,1415,115,431,821,48
conuoco_v,verb,6341,529,1610,4115,87
conuolo_v,verb,434,37,164,231,2
conuoluo_v,verb,669,190,170,280,29
conuolutor_v,verb,2,2,0,0,0
conuomo_v,verb,2,2,0,0,0
conuulnero_v,verb,119,54,21,44,0
cooperio_v,verb,2990,141,1026,1793,30
coopto_v,verb,138,106,17,3,12
coorior_v,verb,677,559,63,55,0
copia_n,noun,14540,5133,3972,4831,604
copulo/-or_v,verb,6841,236,2879,3418,308
coquo_v,verb,6617,2399,2015,2091,112
cor_n,noun,117698,1557,51392,63637,1112
cornicor_v,verb,14,1,6,7,0
cornu_n,noun,16885,3962,5585,7210,128
corona_n,noun,12791,1909,4355,6447,80
corono_v,verb,8770,868,3253,4599,50
corpus_n,noun,237375,13290,71233,138463,14389
corrigo_v,verb,14229,568,6569,6839,253
corripio_v,verb,11203,1011,4593,5478,121
corroboro_v,verb,1365,42,402,868,53
corrodo_v,verb,476,19,61,378,18
corrotundo_v,verb,9,9,0,0,0
corrumpo_v,verb,24893,2327,7631,14239,696
corruo_v,verb,4316,147,1798,2336,35
corusco_v,verb,2205,116,834,1238,17
crassitudo_n,noun,794,453,171,151,19
crebresco_v,verb,554,20,259,261,14
credo_v,verb,161915,9103,79534,70819,2459
cremo_v,verb,2089,578,599,904,8
creo_v,verb,152621,2484,38742,107663,3732
crepito_v,verb,559,174,224,160,1
crepo_v,verb,779,242,253,265,19
cresco_v,verb,16878,2901,7191,6272,514
crimen_n,noun,24977,4083,12813,7830,251
criminor/-o_v,verb,3415,593,1773,1021,28
crinis_n,noun,2995,952,920,1091,32
criso_v,verb,69,8,0,61,0
crispo_v,verb,614,83,299,227,5
cruciatus_n,noun,6294,721,2875,2565,133
crucio_v,verb,5597,648,2104,2776,69
crudelitas_n,noun,3057,500,1308,1223,26
crudesco_v,verb,98,22,38,38,0
cruento_v,verb,1300,373,424,490,13
cruor_n,noun,1989,694,711,583,1
crus_n,noun,3177,1031,671,1380,95
crux_n,noun,17850,326,5864,11542,118
cubiculum_n,noun,4211,862,1504,1788,57
cubile_n,noun,3671,695,1647,1321,8
cubito_v,verb,416,96,215,104,1
cubo_v,verb,10824,1315,5397,4063,49
culpa_n,noun,39947,2435,12497,24461,554
culpo_v,verb,10443,734,4494,4975,240
cultor_n,noun,4436,355,2356,1649,76
cultus_n,noun,16739,2006,5110,8638,985
cumulo_v,verb,3021,490,1099,1342,90
cunctatio_n,noun,522,195,203,120,4
cunctor/-o_v,verb,11763,1898,4813,4868,184
cuneo_v,verb,140,63,48,27,2
cuneus_n,noun,923,256,338,319,10
cupiditas_n,noun,10296,1369,4747,3662,518
cupido_n,noun,1845,820,466,495,64
cupio_v,verb,23171,2841,9528,10202,600
cura_n,noun,34144,8057,11163,13729,1195
curia_n,noun,8377,1389,2248,4437,303
curo_v,verb,31718,4825,11253,14569,1071
curro_v,verb,30879,3792,11768,14704,615
currus_n,noun,8144,2003,3236,2841,64
cursito_v,verb,180,20,61,90,9
curso_v,verb,100,50,24,26,0
cursus_n,noun,16086,3737,6737,5239,373
curto_v,verb,218,23,37,157,1
curuo_v,verb,2754,778,1041,829,106
custodia_n,noun,12304,1336,4486,6327,155
custodio_v,verb,28115,1413,13257,13233,212
custos_n,noun,8842,1319,3075,4379,69
damno_v,verb,29314,3442,15500,9856,516
damnum_n,noun,12481,1510,6669,3852,450
daps_n,noun,1386,474,450,447,15
dea_n,noun,5378,3095,1590,639,54
debacchor/-o_v,verb,257,2,66,180,9
debello_v,verb,2557,386,856,1278,37
debeo_v,verb,148061,7753,55016,79934,5358
debilito_v,verb,3863,430,990,2324,119
decanto_v,verb,2083,50,524,1378,131
decedo_v,verb,6463,1016,3076,2286,85
decerno_v,verb,30449,5430,11146,11660,2213
decerpo_v,verb,1315,276,557,400,82
decerto/-or_v,verb,1478,252,342,844,40
decet_v,verb,8648,1009,2124,5304,211
deci'do_v,verb,3894,564,1565,1641,124
"deci\do""_v",verb,5482,839,1912,2533,198
decipio_v,verb,14638,1232,6553,6537,316
declamo_v,verb,1063,359,208,484,12
declaro_v,verb,11717,576,3931,6355,855
declino_v,verb,13622,802,5439,7174,207
decollo_v,verb,651,16,142,493,0
decoloro_v,verb,520,31,195,293,1
decondo_v,verb,1,1,0,0,0
decoquo_v,verb,4542,3564,441,508,29
decor_n,noun,5718,532,1912,3180,94
decoro_v,verb,6197,367,2081,3649,100
decresco_v,verb,26096,4769,8704,10529,2094
decretum_n,noun,10419,1911,3548,4103,857
decumbo_v,verb,462,44,108,284,26
decurro_v,verb,6123,851,2846,2229,197
decurto_v,verb,165,15,32,112,6
decus_n,noun,10979,2417,3627,4712,223
decutio_v,verb,568,205,193,170,0
dedecet_v,verb,192,19,35,130,8
dedecoro_v,verb,186,37,91,52,6
dedecus_n,noun,2354,660,724,913,57
dedico_v,verb,4288,576,1231,2419,62
dedignor/-o_v,verb,1996,106,697,1177,16
dedisco_v,verb,189,52,57,73,7
deditio_n,noun,785,321,235,212,17
dedo_v,verb,29119,4293,12009,12247,570
dedoceo_v,verb,79,17,35,15,12
deduco_v,verb,19114,3021,6113,8758,1222
deerro_v,verb,38,24,14,0,0
defatigo_v,verb,360,117,96,130,17
defectio_n,noun,1018,315,347,350,6
defendo_v,verb,19419,4353,8075,6543,448
defensio_n,noun,3903,657,1738,1416,92
defenso_v,verb,1467,170,643,654,0
defero_v,verb,17922,2520,7252,7657,493
defetiscor_v,verb,934,448,297,183,6
deficio_v,verb,43035,1812,9772,29810,1641
defigo_v,verb,2452,499,916,924,113
definio_v,verb,14435,701,6142,5896,1696
defio_v,verb,60,25,21,13,1
deflagro_v,verb,82,50,7,13,12
deflecto_v,verb,1318,210,465,442,201
defleo_v,verb,2642,316,934,1386,6
defloresco_v,verb,78,58,7,10,3
defluo_v,verb,3609,344,1613,1587,65
defodio_v,verb,911,294,367,239,11
deformo_v,verb,1959,289,478,1144,48
defrico_v,verb,130,59,43,22,6
defringo_v,verb,78,57,3,18,0
defugio_v,verb,166,50,108,6,2
defundo_v,verb,243,103,71,69,0
defungor_v,verb,19177,950,8398,9716,113
degenero_v,verb,1352,187,512,589,64
dego_v,verb,4636,218,1771,2384,263
degrauo_v,verb,89,30,32,20,7
degredior_v,verb,186,134,51,1,0
degusto_v,verb,1290,115,437,713,25
dehisco_v,verb,398,142,183,72,1
dehonesto_v,verb,486,13,186,274,13
dehortor_v,verb,133,42,16,74,1
deicio_v,verb,8614,1819,3900,2860,35
deiungo_v,verb,42,17,18,7,0
delabor_v,verb,1655,580,451,434,190
delecto/-or_v,verb,11118,1034,3811,6050,223
delego_v,verb,2213,193,872,940,208
delenio_v,verb,215,95,91,29,0
deleo_v,verb,10742,1046,4626,4960,110
delibero_v,verb,4172,631,1081,2231,229
delibo_v,verb,431,79,178,140,34
delibro_v,verb,50,45,0,5,0
delibuo_v,verb,580,97,184,299,0
delicia_n,noun,7297,641,2432,4089,135
delictum_n,noun,15322,451,9034,5603,234
deligo1_v,verb,2923,1522,687,479,235
deligo2_v,verb,604,461,124,6,13
delinquo_v,verb,40744,1128,23361,15547,708
deliro_v,verb,500,85,243,127,45
delitisco_v,verb,213,79,66,65,3
delubrum_n,noun,1341,563,486,288,4
deludo_v,verb,1133,91,271,749,22
demano_v,verb,32,3,26,3,0
dementia_n,noun,2161,603,1039,475,44
demereo/-eor_v,verb,1488,98,102,1257,31
demergo_v,verb,2884,366,1511,737,270
demetor/-o_v,verb,19,11,6,2,0
demigro_v,verb,193,54,60,69,10
deminuo_v,verb,1168,359,722,67,20
demiror_v,verb,121,40,13,50,18
demitto_v,verb,4110,1813,644,1390,263
demo_v,verb,7835,2846,2960,1783,246
demolior/-io_v,verb,1093,83,380,622,8
demonstro_v,verb,28441,1445,10033,12768,4195
demordeo_v,verb,11,3,2,6,0
demorior_v,verb,270,136,80,18,36
demoror_v,verb,828,49,341,430,8
demoueo_v,verb,120,82,25,7,6
demuto_v,verb,470,13,268,184,5
denato_v,verb,4,1,2,1,0
denego_v,verb,4065,160,2603,1215,87
denomino_v,verb,1830,35,227,1400,168
denoto_v,verb,1748,37,335,1220,156
dens_n,noun,9457,1673,3192,4467,125
denseo_v,verb,256,63,162,21,10
denso_v,verb,1142,388,343,339,72
denubo_v,verb,41,7,22,12,0
denudo_v,verb,2233,54,238,1930,11
denuntio_v,verb,4765,620,2167,1959,19
denuo_v,verb,1878,74,810,799,195
depasco_v,verb,770,133,304,320,13
depecto_v,verb,64,46,11,7,0
depello_v,verb,3360,802,1384,1132,42
dependeo_v,verb,5027,290,344,3689,704
dependo_v,verb,5382,403,655,3626,698
deperdo_v,verb,509,52,102,294,61
depereo_v,verb,750,64,317,361,8
depilo/-or_v,verb,56,11,17,28,0
depingo_v,verb,2037,116,519,1124,278
deplango_v,verb,102,2,9,91,0
deploro_v,verb,1976,320,692,899,65
depluo_v,verb,18,11,5,2,0
depono_v,verb,21530,2069,9816,9321,324
depopulor/-o_v,verb,1158,286,258,608,6
deporto_v,verb,2260,360,840,1057,3
deposco_v,verb,1178,191,507,473,7
deprauo_v,verb,2556,189,1087,1080,200
deprecor/-o_v,verb,7236,677,3245,3281,33
deprehendo_v,verb,8140,1200,3223,3038,679
deprimo_v,verb,4866,587,1731,2353,195
deproelior_v,verb,21,3,18,0,0
depromo_v,verb,1387,131,486,632,138
depropero_v,verb,72,5,39,19,9
depugno_v,verb,309,189,68,47,5
depungo_v,verb,1,1,0,0,0
derado_v,verb,141,110,17,6,8
derelinquo_v,verb,13037,105,7528,5303,101
derepo_v,verb,125,74,3,39,9
derideo_v,verb,2988,285,1005,1649,49
derigesco_v,verb,25,16,8,1,0
deripio_v,verb,236,208,16,12,0
deriuo_v,verb,4402,105,779,3054,464
derogo_v,verb,2148,53,906,1123,66
desaeuio_v,verb,403,12,169,221,1
descendo_v,verb,39849,1607,14774,22123,1345
descisco_v,verb,437,213,170,44,10
describo_v,verb,13740,672,4983,6460,1625
deseco_v,verb,609,183,290,136,0
desero1_v,verb,48297,3431,21743,22794,329
desero2_v,verb,11223,737,5056,5243,187
deseruio_v,verb,3824,141,1152,2495,36
desideo_v,verb,1539,244,663,579,53
desiderium_n,noun,37827,1104,12861,23244,618
desidero_v,verb,29452,1547,11300,15818,787
desido_v,verb,8377,689,3444,4122,122
designo_v,verb,17647,873,5242,11135,397
desilio_v,verb,297,141,75,77,4
desino_v,verb,7426,1109,2692,3218,407
desipio_v,verb,814,63,364,372,15
desisto_v,verb,3573,450,1271,1793,59
desolo_v,verb,3046,95,1086,1846,19
despecto_v,verb,440,53,202,183,2
desperatio_n,noun,2606,204,791,1553,58
despero_v,verb,10470,992,4043,5239,196
despicio_v,verb,11801,675,5172,5841,113
despolio_v,verb,299,56,69,169,5
despondeo_v,verb,584,219,190,164,11
despumo_v,verb,233,98,64,71,0
despuo_v,verb,139,32,90,17,0
desterto_v,verb,3,1,0,2,0
destillo_v,verb,306,111,62,117,16
destino_v,verb,7071,1175,3155,2316,425
destituo_v,verb,6243,708,2178,2785,572
destringo_v,verb,777,311,285,181,0
destruo_v,verb,16990,117,6138,10320,415
desudo_v,verb,1097,28,388,675,6
desuesco_v,verb,232,78,115,33,6
desum_v,verb,12311,1673,4724,5550,364
desumo_v,verb,319,17,2,0,300
detego_v,verb,3013,442,1116,962,493
detergeo_v,verb,1155,210,480,464,1
determino_v,verb,31576,50,1004,24341,6181
detero_v,verb,723,207,309,179,28
deterreo_v,verb,1685,459,606,567,53
detestor_v,verb,4130,173,2001,1880,76
detexo_v,verb,67,20,47,0,0
detineo_v,verb,4971,320,1691,2787,173
detondeo_v,verb,288,70,124,94,0
detorqueo_v,verb,644,144,255,182,63
detracto_v,verb,816,287,314,197,18
detraho_v,verb,10647,2243,3834,4316,254
detrecto_v,verb,740,114,184,393,49
detrimentum_n,noun,5745,405,1932,3263,145
detrudo_v,verb,769,131,309,289,40
detrunco_v,verb,365,58,131,172,4
deturbo_v,verb,459,125,132,166,36
deueho_v,verb,510,214,96,187,13
deuello_v,verb,46,10,10,26,0
deueneror_v,verb,6,6,0,0,0
deuenio_v,verb,2713,142,398,1961,212
deuersor_v,verb,100,27,49,24,0
deuerto_v,verb,406,158,209,39,0
deuincio_v,verb,1186,342,412,359,73
deuinco_v,verb,5062,695,1665,2642,60
deuito_v,verb,2546,102,1180,1236,28
deuoco_v,verb,307,43,167,93,4
deuolo_v,verb,51,28,7,15,1
deuoluo_v,verb,1477,109,720,615,33
deuoro_v,verb,5978,494,2623,2812,49
deuoueo_v,verb,17649,407,4284,12792,166
deuro_v,verb,114,62,52,0,0
deus_n,noun,988436,7990,399017,560630,20799
dextera_n,noun,16406,912,7803,7655,36
dicio_n,noun,515,172,211,129,3
dico1_v,verb,68813,4528,26603,36090,1592
dico2_v,verb,1437559,59349,472030,886421,19759
dictator_n,noun,1428,1052,186,171,19
dictito_v,verb,593,419,121,26,27
dicto_v,verb,21107,2670,6737,10893,807
dictum_n,noun,185546,8255,57868,115725,3698
dido_v,verb,242,116,62,51,13
diduco_v,verb,1065,803,114,70,78
dies_n,noun,213298,23543,85261,102454,2040
diffamo_v,verb,718,15,291,411,1
differo_v,verb,44490,2625,10197,29390,2278
difficultas_n,noun,5203,593,1376,2646,588
diffido_v,verb,3168,398,854,1809,107
diffindo_v,verb,205,64,46,91,4
diffingo_v,verb,6,2,0,4,0
diffluo_v,verb,413,73,205,116,19
diffringo_v,verb,111,26,64,3,18
diffugio_v,verb,410,92,137,174,7
diffundo_v,verb,13287,695,5961,6188,443
diffutuo_v,verb,6,6,0,0,0
digero_v,verb,5229,485,2616,1948,180
digitus_n,noun,8199,1523,2516,3997,163
dignitas_n,noun,17816,1786,4731,10561,738
digno/-or_v,verb,14968,865,5959,7936,208
digredior_v,verb,1838,515,703,573,47
diiudico_v,verb,3369,139,1037,1953,240
dilabor_v,verb,1510,468,550,473,19
dilacero_v,verb,696,36,320,337,3
dilanio_v,verb,561,31,237,288,5
dilargior_v,verb,54,23,13,16,2
dilato_v,verb,6364,237,2195,3700,232
dilectus_n,noun,16377,1165,3916,11262,34
diligentia_n,noun,7636,1435,2423,3289,489
diligo_v,verb,96239,4247,28380,62666,946
diluceo_v,verb,31,16,7,7,1
dilucesco_v,verb,77,8,38,30,1
diluo_v,verb,2762,876,993,805,88
dimetior_v,verb,748,166,323,149,110
dimico_v,verb,3974,903,1695,1357,19
dimidio_v,verb,1223,268,450,448,57
dimitto_v,verb,34471,3057,12834,18428,152
dimoueo_v,verb,533,169,184,126,54
dinosco_v,verb,1145,63,649,429,4
dinumero_v,verb,1064,69,575,420,0
dirigo_v,verb,21509,569,7743,11919,1278
dirimo_v,verb,1882,435,717,650,80
diripio_v,verb,4213,1018,1579,1595,21
dirumpo_v,verb,1037,32,421,579,5
diruo_v,verb,2506,509,833,1136,28
discedo_v,verb,11320,1981,4840,4248,251
discepto_v,verb,1253,296,517,395,45
discerno_v,verb,19094,725,6417,11465,487
discerpo_v,verb,1054,107,432,439,76
discindo_v,verb,926,119,477,322,8
discingo_v,verb,342,81,137,114,10
disciplina_n,noun,27650,2164,11678,12844,964
discludo_v,verb,123,51,71,1,0
disco_v,verb,21761,2253,10265,8739,504
discoquo_v,verb,90,57,28,5,0
discordia_n,noun,4980,870,1602,2418,90
discordo_v,verb,2001,136,735,1116,14
discrepo_v,verb,2298,201,1255,630,212
discribo_v,verb,415,276,96,43,0
discrimen_n,noun,5606,1569,2055,1355,627
discrimino_v,verb,836,179,347,240,70
discrucio_v,verb,121,23,66,26,6
discumbo_v,verb,2513,83,959,1452,19
discupio_v,verb,5,3,0,1,1
discurro_v,verb,7079,464,1546,4661,408
discurso_v,verb,144,7,17,114,6
discutio_v,verb,9430,1026,4660,3540,204
disicio_v,verb,999,605,200,167,27
disiungo_v,verb,2870,167,1182,1207,314
disparo_v,verb,1791,102,291,1348,50
dispello_v,verb,167,78,28,36,25
dispenso/-or_v,verb,5427,171,1594,3554,108
disperdo_v,verb,1746,33,1033,675,5
dispereo_v,verb,257,32,140,80,5
dispergo_v,verb,9626,847,4075,4520,184
dispertio/-ior_v,verb,994,94,318,562,20
dispicio_v,verb,982,209,417,252,104
displiceo_v,verb,4036,224,1892,1865,55
