lexeme,PoSTag:features,form,form_IPA,freqTFTL,freqAntiquitas,freqAetasPatrum,freqMediumAeuum,freqRecentiorLatinitas
accusator,NOUN:Nom+Sing,accūsātor,akkuːsaːtor,849,225,368,255,1
accusator,NOUN:Gen+Sing,accūsātōris,akkuːsaːtoːris,219,99,79,38,3
accusator,NOUN:Dat+Sing,accūsātōrī,akkuːsaːtoːriː,111,58,37,14,2
accusator,NOUN:Acc+Sing,accūsātōrem,akkuːsaːtoːrem,230,92,91,46,1
accusator,NOUN:Voc+Sing,accūsātor,akkuːsaːtor,849,225,368,255,1
accusator,NOUN:Abl+Sing,accūsātōre,akkuːsaːtoːre,182,90,53,37,2
accusator,NOUN:Nom+Plur,accūsātōrēs,akkuːsaːtoːreːs,396,90,165,141,0
accusator,NOUN:Gen+Plur,accūsātōrum,akkuːsaːtoːrum,115,44,38,33,0
accusator,NOUN:Dat+Plur,accūsātōribus,akkuːsaːtoːribus,161,45,72,42,2
accusator,NOUN:Acc+Plur,accūsātōrēs,akkuːsaːtoːreːs,396,90,165,141,0
accusator,NOUN:Voc+Plur,accūsātōrēs,akkuːsaːtoːreːs,396,90,165,141,0
accusator,NOUN:Abl+Plur,accūsātōribus,akkuːsaːtoːribus,161,45,72,42,2
acies,NOUN:Nom+Sing,aciēs,akieːs,1969,683,555,708,23
acies,NOUN:Gen+Sing,aciēī,akieːiː,33,6,6,20,1
acies,NOUN:Dat+Sing,aciēī,akieːiː,33,6,6,20,1
acies,NOUN:Acc+Sing,aciem,akiem,1730,830,496,365,39
acies,NOUN:Voc+Sing,aciēs,akieːs,1969,683,555,708,23
acies,NOUN:Abl+Sing,aciē,akieː,1674,764,489,395,26
acies,NOUN:Nom+Plur,aciēs,akieːs,1969,683,555,708,23
acies,NOUN:Gen+Plur,aciērum,akieːrum,13,0,0,13,0
acies,NOUN:Dat+Plur,aciēbus,akieːbus,63,0,2,61,0
acies,NOUN:Acc+Plur,aciēs,akieːs,1969,683,555,708,23
acies,NOUN:Voc+Plur,aciēs,akieːs,1969,683,555,708,23
acies,NOUN:Abl+Plur,aciēbus,akieːbus,63,0,2,61,0
actio,NOUN:Nom+Sing,āctio,aːktio,6218,287,2264,3122,545
actio,NOUN:Gen+Sing,āctiōnis,aːktioːnis,2356,103,643,1428,182
actio,NOUN:Dat+Sing,āctiōnī,aːktioːniː,311,22,83,175,31
actio,NOUN:Acc+Sing,āctiōnem,aːktioːnem,4669,157,2013,2165,334
actio,NOUN:Voc+Sing,āctio,aːktio,6218,287,2264,3122,545
actio,NOUN:Abl+Sing,āctiōne,aːktioːne,4029,183,1710,1838,298
actio,NOUN:Nom+Plur,āctiōnēs,aːktioːneːs,3081,138,878,1552,513
actio,NOUN:Gen+Plur,āctiōnum,aːktioːnum,837,37,184,395,221
actio,NOUN:Dat+Plur,āctiōnibus,aːktioːnibus,1184,89,410,488,197
actio,NOUN:Acc+Plur,āctiōnēs,aːktioːneːs,3081,138,878,1552,513
actio,NOUN:Voc+Plur,āctiōnēs,aːktioːneːs,3081,138,878,1552,513
actio,NOUN:Abl+Plur,āctiōnibus,aːktioːnibus,1184,89,410,488,197
actum,NOUN:Nom+Sing,āctum,aːktum,8950,428,1033,7221,268
actum,NOUN:Gen+Sing,āctī,aːktiː,181,59,82,35,5
actum,NOUN:Dat+Sing,āctō,aːktoː,104,39,39,23,3
actum,NOUN:Acc+Sing,āctum,aːktum,8950,428,1033,7221,268
actum,NOUN:Voc+Sing,āctum,aːktum,8950,428,1033,7221,268
actum,NOUN:Abl+Sing,āctō,aːktoː,104,39,39,23,3
actum,NOUN:Nom+Plur,ācta,aːkta,1892,532,731,587,42
actum,NOUN:Gen+Plur,āctōrum,aːktoːrum,138,17,94,13,14
actum,NOUN:Dat+Plur,āctīs,aːktiːs,682,184,331,125,42
actum,NOUN:Acc+Plur,ācta,aːkta,1892,532,731,587,42
actum,NOUN:Voc+Plur,ācta,aːkta,1892,532,731,587,42
actum,NOUN:Abl+Plur,āctīs,aːktiːs,682,184,331,125,42
actus,NOUN:Nom+Sing,āctus,aːktus,16261,177,1516,14066,502
actus,NOUN:Gen+Sing,āctūs,aːktuːs,16261,177,1516,14066,502
actus,NOUN:Dat+Sing,āctuī,aːktuiː,270,1,9,252,8
actus,NOUN:Acc+Sing,āctum,aːktum,8950,428,1033,7221,268
actus,NOUN:Voc+Sing,āctus,aːktus,16261,177,1516,14066,502
actus,NOUN:Abl+Sing,āctū,aːktuː,10590,73,711,9146,660
actus,NOUN:Nom+Plur,āctūs,aːktuːs,16261,177,1516,14066,502
actus,NOUN:Gen+Plur,āctuum,aːktuum,1474,1,425,1011,37
actus,NOUN:Dat+Plur,āctibus,aːktibus,4954,12,1873,2958,111
actus,NOUN:Acc+Plur,āctūs,aːktuːs,16261,177,1516,14066,502
actus,NOUN:Voc+Plur,āctūs,aːktuːs,16261,177,1516,14066,502
actus,NOUN:Abl+Plur,āctibus,aːktibus,4954,12,1873,2958,111
aditus,NOUN:Nom+Sing,aditus,aditus,907,265,314,287,41
aditus,NOUN:Gen+Sing,aditūs,adituːs,907,265,314,287,41
aditus,NOUN:Dat+Sing,adituī,adituiː,1,0,0,1,0
aditus,NOUN:Acc+Sing,aditum,aditum,899,140,301,440,18
aditus,NOUN:Voc+Sing,aditus,aditus,907,265,314,287,41
aditus,NOUN:Abl+Sing,aditū,adituː,285,116,79,84,6
aditus,NOUN:Nom+Plur,aditūs,adituːs,907,265,314,287,41
aditus,NOUN:Gen+Plur,adituum,adituum,0,0,0,0,0
aditus,NOUN:Dat+Plur,aditibus,aditibus,24,0,13,10,1
aditus,NOUN:Acc+Plur,aditūs,adituːs,907,265,314,287,41
aditus,NOUN:Voc+Plur,aditūs,adituːs,907,265,314,287,41
aditus,NOUN:Abl+Plur,aditibus,aditibus,24,0,13,10,1
admiratio,NOUN:Nom+Sing,admīrātio,admiːraːtio,462,73,89,243,57
admiratio,NOUN:Gen+Sing,admīrātiōnis,admiːraːtioːnis,306,32,79,160,35
admiratio,NOUN:Dat+Sing,admīrātiōnī,admiːraːtioːniː,93,13,21,46,13
admiratio,NOUN:Acc+Sing,admīrātiōnem,admiːraːtioːnem,540,76,112,277,75
admiratio,NOUN:Voc+Sing,admīrātio,admiːraːtio,462,73,89,243,57
admiratio,NOUN:Abl+Sing,admīrātiōne,admiːraːtioːne,1047,125,314,547,61
admiratio,NOUN:Nom+Plur,admīrātiōnēs,admiːraːtioːneːs,18,10,4,4,0
admiratio,NOUN:Gen+Plur,admīrātiōnum,admiːraːtioːnum,3,1,1,1,0
admiratio,NOUN:Dat+Plur,admīrātiōnibus,admiːraːtioːnibus,5,1,3,1,0
admiratio,NOUN:Acc+Plur,admīrātiōnēs,admiːraːtioːneːs,18,10,4,4,0
admiratio,NOUN:Voc+Plur,admīrātiōnēs,admiːraːtioːneːs,18,10,4,4,0
admiratio,NOUN:Abl+Plur,admīrātiōnibus,admiːraːtioːnibus,5,1,3,1,0
admonitio,NOUN:Nom+Sing,admonitio,admonitio,328,26,94,200,8
admonitio,NOUN:Gen+Sing,admonitiōnis,admonitioːnis,184,5,56,121,2
admonitio,NOUN:Dat+Sing,admonitiōnī,admonitioːniː,26,1,5,19,1
admonitio,NOUN:Acc+Sing,admonitiōnem,admonitioːnem,443,10,125,303,5
admonitio,NOUN:Voc+Sing,admonitio,admonitio,328,26,94,200,8
admonitio,NOUN:Abl+Sing,admonitiōne,admonitioːne,376,24,145,204,3
admonitio,NOUN:Nom+Plur,admonitiōnēs,admonitioːneːs,59,4,16,38,1
admonitio,NOUN:Gen+Plur,admonitiōnum,admonitioːnum,10,1,2,7,0
admonitio,NOUN:Dat+Plur,admonitiōnibus,admonitioːnibus,96,3,36,53,4
admonitio,NOUN:Acc+Plur,admonitiōnēs,admonitioːneːs,59,4,16,38,1
admonitio,NOUN:Voc+Plur,admonitiōnēs,admonitioːneːs,59,4,16,38,1
admonitio,NOUN:Abl+Plur,admonitiōnibus,admonitioːnibus,96,3,36,53,4
aduentus,NOUN:Nom+Sing,aduentus,adwentus,2433,166,811,1392,64
aduentus,NOUN:Gen+Sing,aduentūs,adwentuːs,2433,166,811,1392,64
aduentus,NOUN:Dat+Sing,aduentuī,adwentuiː,104,1,41,58,4
aduentus,NOUN:Acc+Sing,aduentum,adwentum,4444,253,1716,2432,43
aduentus,NOUN:Voc+Sing,aduentus,adwentus,2433,166,811,1392,64
aduentus,NOUN:Abl+Sing,aduentū,adwentuː,3045,343,1088,1600,14
aduentus,NOUN:Nom+Plur,aduentūs,adwentuːs,2433,166,811,1392,64
aduentus,NOUN:Gen+Plur,aduentuum,adwentuum,6,0,0,5,1
aduentus,NOUN:Dat+Plur,aduentibus,adwentibus,8,1,4,2,1
aduentus,NOUN:Acc+Plur,aduentūs,adwentuːs,2433,166,811,1392,64
aduentus,NOUN:Voc+Plur,aduentūs,adwentuːs,2433,166,811,1392,64
aduentus,NOUN:Abl+Plur,aduentibus,adwentibus,8,1,4,2,1
adulatio,NOUN:Nom+Sing,adūlātio,aduːlaːtio,203,32,53,104,14
adulatio,NOUN:Gen+Sing,adūlātiōnis,aduːlaːtioːnis,190,15,48,125,2
adulatio,NOUN:Dat+Sing,adūlātiōnī,aduːlaːtioːniː,24,5,8,11,0
adulatio,NOUN:Acc+Sing,adūlātiōnem,aduːlaːtioːnem,98,23,33,38,4
adulatio,NOUN:Voc+Sing,adūlātio,aduːlaːtio,203,32,53,104,14
adulatio,NOUN:Abl+Sing,adūlātiōne,aduːlaːtioːne,240,35,115,86,4
adulatio,NOUN:Nom+Plur,adūlātiōnēs,aduːlaːtioːneːs,43,10,10,21,2
adulatio,NOUN:Gen+Plur,adūlātiōnum,aduːlaːtioːnum,8,1,4,3,0
adulatio,NOUN:Dat+Plur,adūlātiōnibus,aduːlaːtioːnibus,82,9,19,53,1
adulatio,NOUN:Acc+Plur,adūlātiōnēs,aduːlaːtioːneːs,43,10,10,21,2
adulatio,NOUN:Voc+Plur,adūlātiōnēs,aduːlaːtioːneːs,43,10,10,21,2
adulatio,NOUN:Abl+Plur,adūlātiōnibus,aduːlaːtioːnibus,82,9,19,53,1
adulescentia,NOUN:Nom+Sing,adulēscentia,aduleːskentia,317,122,180,15,0
adulescentia,NOUN:Gen+Sing,adulēscentiae,aduleːskentiaj,183,72,95,16,0
adulescentia,NOUN:Dat+Sing,adulēscentiae,aduleːskentiaj,183,72,95,16,0
adulescentia,NOUN:Acc+Sing,adulēscentiam,aduleːskentiam,101,65,33,3,0
adulescentia,NOUN:Voc+Sing,adulēscentia,aduleːskentia,317,122,180,15,0
adulescentia,NOUN:Abl+Sing,adulēscentiā,aduleːskentiaː,317,122,180,15,0
adulescentia,NOUN:Nom+Plur,adulēscentiae,aduleːskentiaj,183,72,95,16,0
adulescentia,NOUN:Gen+Plur,adulēscentiārum,aduleːskentiaːrum,0,0,0,0,0
adulescentia,NOUN:Dat+Plur,adulēscentiīs,aduleːskentiiːs,0,0,0,0,0
adulescentia,NOUN:Acc+Plur,adulēscentiās,aduleːskentiaːs,0,0,0,0,0
adulescentia,NOUN:Voc+Plur,adulēscentiae,aduleːskentiaj,183,72,95,16,0
adulescentia,NOUN:Abl+Plur,adulēscentiīs,aduleːskentiiːs,0,0,0,0,0
adulter,NOUN:Nom+Sing,adulter,adulter,567,110,250,206,1
adulter,NOUN:Gen+Sing,adulterī,adulteriː,464,44,233,186,1
adulter,NOUN:Dat+Sing,adulterō,adulteroː,184,51,88,43,2
adulter,NOUN:Acc+Sing,adulterum,adulterum,340,77,174,89,0
adulter,NOUN:Voc+Sing,adulter,adulter,567,110,250,206,1
adulter,NOUN:Abl+Sing,adulterō,adulteroː,184,51,88,43,2
adulter,NOUN:Nom+Plur,adulterī,adulteriː,464,44,233,186,1
adulter,NOUN:Gen+Plur,adulterōrum,adulteroːrum,64,7,26,30,1
adulter,NOUN:Dat+Plur,adulterīs,adulteriːs,230,14,146,68,2
adulter,NOUN:Acc+Plur,adulterōs,adulteroːs,278,47,139,90,2
adulter,NOUN:Voc+Plur,adulterī,adulteriː,464,44,233,186,1
adulter,NOUN:Abl+Plur,adulterīs,adulteriːs,230,14,146,68,2
adulterium,NOUN:Nom+Sing,adulterium,adulterium,1399,86,613,687,13
adulterium,NOUN:Gen+Sing,adulteriī,adulteriiː,580,52,295,233,0
adulterium,NOUN:Dat+Sing,adulteriō,adulterioː,682,70,279,327,6
adulterium,NOUN:Acc+Sing,adulterium,adulterium,1399,86,613,687,13
adulterium,NOUN:Voc+Sing,adulterium,adulterium,1399,86,613,687,13
adulterium,NOUN:Abl+Sing,adulteriō,adulterioː,682,70,279,327,6
adulterium,NOUN:Nom+Plur,adulteria,adulteria,405,35,246,122,2
adulterium,NOUN:Gen+Plur,adulteriōrum,adulterioːrum,39,5,27,7,0
adulterium,NOUN:Dat+Plur,adulteriīs,adulteriiːs,145,16,91,37,1
adulterium,NOUN:Acc+Plur,adulteria,adulteria,405,35,246,122,2
adulterium,NOUN:Voc+Plur,adulteria,adulteria,405,35,246,122,2
adulterium,NOUN:Abl+Plur,adulteriīs,adulteriiːs,145,16,91,37,1
aedes,NOUN:Nom+Sing,aedēs,ajdeːs,789,217,452,103,17
aedes,NOUN:Gen+Sing,aedis,ajdis,378,301,41,35,1
aedes,NOUN:Dat+Sing,aedī,ajdiː,13,6,3,4,0
aedes,NOUN:Acc+Sing,aedem,ajdem,492,283,133,74,2
aedes,NOUN:Voc+Sing,aedēs,ajdeːs,789,217,452,103,17
aedes,NOUN:Abl+Sing,aede,ajde,323,203,66,53,1
aedes,NOUN:Nom+Plur,aedēs,ajdeːs,789,217,452,103,17
aedes,NOUN:Gen+Plur,aedium,ajdium,388,136,215,30,7
aedes,NOUN:Dat+Plur,aedibus,ajdibus,573,225,262,71,15
aedes,NOUN:Acc+Plur,aedēs,ajdeːs,789,217,452,103,17
aedes,NOUN:Voc+Plur,aedēs,ajdeːs,789,217,452,103,17
aedes,NOUN:Abl+Plur,aedibus,ajdibus,573,225,262,71,15
aedificium,NOUN:Nom+Sing,aedificium,ajdifikium,743,33,361,287,62
aedificium,NOUN:Gen+Sing,aedificiī,ajdifikiiː,404,12,161,181,50
aedificium,NOUN:Dat+Sing,aedificiō,ajdifikioː,329,19,162,131,17
aedificium,NOUN:Acc+Sing,aedificium,ajdifikium,743,33,361,287,62
aedificium,NOUN:Voc+Sing,aedificium,ajdifikium,743,33,361,287,62
aedificium,NOUN:Abl+Sing,aedificiō,ajdifikioː,329,19,162,131,17
aedificium,NOUN:Nom+Plur,aedificia,ajdifikia,471,106,191,151,23
aedificium,NOUN:Gen+Plur,aedificiōrum,ajdifikioːrum,248,72,89,76,11
aedificium,NOUN:Dat+Plur,aedificiīs,ajdifikiiːs,336,103,122,101,10
aedificium,NOUN:Acc+Plur,aedificia,ajdifikia,471,106,191,151,23
aedificium,NOUN:Voc+Plur,aedificia,ajdifikia,471,106,191,151,23
aedificium,NOUN:Abl+Plur,aedificiīs,ajdifikiiːs,336,103,122,101,10
aeger,NOUN:Nom+Sing,aeger,ajɡer,602,222,225,151,4
aeger,NOUN:Gen+Sing,aegrī,ajɡriː,221,78,96,41,6
aeger,NOUN:Dat+Sing,aegrō,ajɡroː,157,95,30,31,1
aeger,NOUN:Acc+Sing,aegrum,ajɡrum,352,136,117,98,1
aeger,NOUN:Voc+Sing,aeger,ajɡer,602,222,225,151,4
aeger,NOUN:Abl+Sing,aegrō,ajɡroː,157,95,30,31,1
aeger,NOUN:Nom+Plur,aegrī,ajɡriː,221,78,96,41,6
aeger,NOUN:Gen+Plur,aegrōrum,ajɡroːrum,30,13,6,9,2
aeger,NOUN:Dat+Plur,aegrīs,ajɡriːs,238,98,99,37,4
aeger,NOUN:Acc+Plur,aegrōs,ajɡroːs,200,68,82,47,3
aeger,NOUN:Voc+Plur,aegrī,ajɡriː,221,78,96,41,6
aeger,NOUN:Abl+Plur,aegrīs,ajɡriːs,238,98,99,37,4
aequor,NOUN:Nom+Sing,aequor,ajkwor,412,234,131,41,6
aequor,NOUN:Gen+Sing,aequoris,ajkworis,149,57,62,28,2
aequor,NOUN:Dat+Sing,aequorī,ajkworiː,3,1,2,0,0
aequor,NOUN:Acc+Sing,aequor,ajkwor,412,234,131,41,6
aequor,NOUN:Voc+Sing,aequor,ajkwor,412,234,131,41,6
aequor,NOUN:Abl+Sing,aequore,ajkwore,368,246,93,29,0
aequor,NOUN:Nom+Plur,aequora,ajkwora,581,381,150,47,3
aequor,NOUN:Gen+Plur,aequorum,ajkworum,54,42,9,2,1
aequor,NOUN:Dat+Plur,aequoribus,ajkworibus,26,17,7,2,0
aequor,NOUN:Acc+Plur,aequora,ajkwora,581,381,150,47,3
aequor,NOUN:Voc+Plur,aequora,ajkwora,581,381,150,47,3
aequor,NOUN:Abl+Plur,aequoribus,ajkworibus,26,17,7,2,0
aequum,NOUN:Nom+Sing,aequum,ajkwum,1022,288,419,235,80
aequum,NOUN:Gen+Sing,aequī,ajkwiː,284,131,62,55,36
aequum,NOUN:Dat+Sing,aequō,ajkwoː,1293,513,362,340,78
aequum,NOUN:Acc+Sing,aequum,ajkwum,1022,288,419,235,80
aequum,NOUN:Voc+Sing,aequum,ajkwum,1022,288,419,235,80
aequum,NOUN:Abl+Sing,aequō,ajkwoː,1293,513,362,340,78
aequum,NOUN:Nom+Plur,aequa,ajkwa,706,190,233,241,42
aequum,NOUN:Gen+Plur,aequōrum,ajkwoːrum,54,42,9,2,1
aequum,NOUN:Dat+Plur,aequīs,ajkwiːs,420,171,158,77,14
aequum,NOUN:Acc+Plur,aequa,ajkwa,706,190,233,241,42
aequum,NOUN:Voc+Plur,aequa,ajkwa,706,190,233,241,42
aequum,NOUN:Abl+Plur,aequīs,ajkwiːs,420,171,158,77,14
aer,NOUN:Nom+Sing,āēr,aːeːr,3072,274,541,1845,412
aer,NOUN:Gen+Sing,āeris,aːeris,3557,624,867,1623,443
aer,NOUN:Dat+Sing,āerī,aːeriː,343,23,75,179,66
aer,NOUN:Acc+Sing,āerem,aːerem,1877,8,431,1098,340
aer,NOUN:Voc+Sing,āēr,aːeːr,3072,274,541,1845,412
aer,NOUN:Abl+Sing,āere,aːere,3539,523,828,1741,447
aer,NOUN:Nom+Plur,āerēs,aːereːs,7,0,2,2,3
aer,NOUN:Gen+Plur,āerum,aːerum,26,1,12,13,0
aer,NOUN:Dat+Plur,āeribus,aːeribus,6,4,1,1,0
aer,NOUN:Acc+Plur,āerēs,aːereːs,7,0,2,2,3
aer,NOUN:Voc+Plur,āerēs,aːereːs,7,0,2,2,3
aer,NOUN:Abl+Plur,āeribus,aːeribus,6,4,1,1,0
aerumna,NOUN:Nom+Sing,aerumna,ajrumna,250,29,134,86,1
aerumna,NOUN:Gen+Sing,aerumnae,ajrumnaj,81,12,42,25,2
aerumna,NOUN:Dat+Sing,aerumnae,ajrumnaj,81,12,42,25,2
aerumna,NOUN:Acc+Sing,aerumnam,ajrumnam,148,15,110,23,0
aerumna,NOUN:Voc+Sing,aerumna,ajrumna,250,29,134,86,1
aerumna,NOUN:Abl+Sing,aerumnā,ajrumnaː,250,29,134,86,1
aerumna,NOUN:Nom+Plur,aerumnae,ajrumnaj,81,12,42,25,2
aerumna,NOUN:Gen+Plur,aerumnārum,ajrumnaːrum,96,9,64,17,6
aerumna,NOUN:Dat+Plur,aerumnīs,ajrumniːs,302,31,163,102,6
aerumna,NOUN:Acc+Plur,aerumnās,ajrumnaːs,252,42,111,97,2
aerumna,NOUN:Voc+Plur,aerumnae,ajrumnaj,81,12,42,25,2
aerumna,NOUN:Abl+Plur,aerumnīs,ajrumniːs,302,31,163,102,6
aes,NOUN:Nom+Sing,aes,ajs,1073,251,405,409,8
aes,NOUN:Gen+Sing,aeris,ajris,3557,624,867,1623,443
aes,NOUN:Dat+Sing,aerī,ajriː,343,23,75,179,66
aes,NOUN:Acc+Sing,aes,ajs,1073,251,405,409,8
aes,NOUN:Voc+Sing,aes,ajs,1073,251,405,409,8
aes,NOUN:Abl+Sing,aere,ajre,3539,523,828,1741,447
aes,NOUN:Nom+Plur,aera,ajra,1111,389,391,322,9
aes,NOUN:Gen+Plur,aerum,ajrum,26,1,12,13,0
aes,NOUN:Dat+Plur,aeribus,ajribus,6,4,1,1,0
aes,NOUN:Acc+Plur,aera,ajra,1111,389,391,322,9
aes,NOUN:Voc+Plur,aera,ajra,1111,389,391,322,9
aes,NOUN:Abl+Plur,aeribus,ajribus,6,4,1,1,0
aestas,NOUN:Nom+Sing,aestās,ajstaːs,378,116,140,116,6
aestas,NOUN:Gen+Sing,aestātis,ajstaːtis,289,70,115,97,7
aestas,NOUN:Dat+Sing,aestātī,ajstaːtiː,29,1,15,12,1
aestas,NOUN:Acc+Sing,aestātem,ajstaːtem,212,87,77,46,2
aestas,NOUN:Voc+Sing,aestās,ajstaːs,378,116,140,116,6
aestas,NOUN:Abl+Sing,aestāte,ajstaːte,856,321,250,258,27
aestas,NOUN:Nom+Plur,aestātēs,ajstaːteːs,35,19,8,7,1
aestas,NOUN:Gen+Plur,aestātum,ajstaːtum,2,2,0,0,0
aestas,NOUN:Dat+Plur,aestātibus,ajstaːtibus,12,10,2,0,0
aestas,NOUN:Acc+Plur,aestātēs,ajstaːteːs,35,19,8,7,1
aestas,NOUN:Voc+Plur,aestātēs,ajstaːteːs,35,19,8,7,1
aestas,NOUN:Abl+Plur,aestātibus,ajstaːtibus,12,10,2,0,0
aestus,NOUN:Nom+Sing,aestus,ajstus,1058,271,440,300,47
aestus,NOUN:Gen+Sing,aestūs,ajstuːs,1058,271,440,300,47
aestus,NOUN:Dat+Sing,aestuī,ajstuiː,3,3,0,0,0
aestus,NOUN:Acc+Sing,aestum,ajstum,289,44,106,130,9
aestus,NOUN:Voc+Sing,aestus,ajstus,1058,271,440,300,47
aestus,NOUN:Abl+Sing,aestū,ajstuː,803,185,304,292,22
aestus,NOUN:Nom+Plur,aestūs,ajstuːs,1058,271,440,300,47
aestus,NOUN:Gen+Plur,aestuum,ajstuum,22,3,15,1,3
aestus,NOUN:Dat+Plur,aestibus,ajstibus,205,37,116,50,2
aestus,NOUN:Acc+Plur,aestūs,ajstuːs,1058,271,440,300,47
aestus,NOUN:Voc+Plur,aestūs,ajstuːs,1058,271,440,300,47
aestus,NOUN:Abl+Plur,aestibus,ajstibus,205,37,116,50,2
aetas,NOUN:Nom+Sing,aetās,ajtaːs,2559,754,1058,700,47
aetas,NOUN:Gen+Sing,aetātis,ajtaːtis,3337,548,1594,1063,132
aetas,NOUN:Dat+Sing,aetātī,ajtaːtiː,395,101,133,146,15
aetas,NOUN:Acc+Sing,aetātem,ajtaːtem,2018,415,881,647,75
aetas,NOUN:Voc+Sing,aetās,ajtaːs,2559,754,1058,700,47
aetas,NOUN:Abl+Sing,aetāte,ajtaːte,3672,635,1572,1305,160
aetas,NOUN:Nom+Plur,aetātēs,ajtaːteːs,610,60,333,198,19
aetas,NOUN:Gen+Plur,aetātum,ajtaːtum,236,24,112,91,9
aetas,NOUN:Dat+Plur,aetātibus,ajtaːtibus,387,67,199,109,12
aetas,NOUN:Acc+Plur,aetātēs,ajtaːteːs,610,60,333,198,19
aetas,NOUN:Voc+Plur,aetātēs,ajtaːteːs,610,60,333,198,19
aetas,NOUN:Abl+Plur,aetātibus,ajtaːtibus,387,67,199,109,12
aether,NOUN:Nom+Sing,aethēr,ajtʰeːr,248,114,84,32,18
aether,NOUN:Gen+Sing,aetheris,ajtʰeris,195,61,68,31,35
aether,NOUN:Dat+Sing,aetherī,ajtʰeriː,20,2,8,4,6
aether,NOUN:Acc+Sing,aetherem,ajtʰerem,34,0,10,2,22
aether,NOUN:Voc+Sing,aethēr,ajtʰeːr,248,114,84,32,18
aether,NOUN:Abl+Sing,aethere,ajtʰere,258,117,71,51,19
aether,NOUN:Nom+Plur,aetherēs,ajtʰereːs,0,0,0,0,0
aether,NOUN:Gen+Plur,aetherum,ajtʰerum,0,0,0,0,0
aether,NOUN:Dat+Plur,aetheribus,ajtʰeribus,0,0,0,0,0
aether,NOUN:Acc+Plur,aetherēs,ajtʰereːs,0,0,0,0,0
aether,NOUN:Voc+Plur,aetherēs,ajtʰereːs,0,0,0,0,0
aether,NOUN:Abl+Plur,aetheribus,ajtʰeribus,0,0,0,0,0
aeuum,NOUN:Nom+Sing,aeuum,ajwum,772,122,225,391,34
aeuum,NOUN:Gen+Sing,aeuī,ajwiː,640,216,270,125,29
aeuum,NOUN:Dat+Sing,aeuō,ajwoː,698,248,215,202,33
aeuum,NOUN:Acc+Sing,aeuum,ajwum,772,122,225,391,34
aeuum,NOUN:Voc+Sing,aeuum,ajwum,772,122,225,391,34
aeuum,NOUN:Abl+Sing,aeuō,ajwoː,698,248,215,202,33
aeuum,NOUN:Nom+Plur,aeua,ajwa,21,0,5,16,0
aeuum,NOUN:Gen+Plur,aeuōrum,ajwoːrum,14,0,10,4,0
aeuum,NOUN:Dat+Plur,aeuīs,ajwiːs,18,11,6,0,1
aeuum,NOUN:Acc+Plur,aeua,ajwa,21,0,5,16,0
aeuum,NOUN:Voc+Plur,aeua,ajwa,21,0,5,16,0
aeuum,NOUN:Abl+Plur,aeuīs,ajwiːs,18,11,6,0,1
affectus,NOUN:Nom+Sing,affectus,affektus,4463,114,963,2861,525
affectus,NOUN:Gen+Sing,affectūs,affektuːs,4463,114,963,2861,525
affectus,NOUN:Dat+Sing,affectuī,affektuiː,195,0,49,135,11
affectus,NOUN:Acc+Sing,affectum,affektum,3808,31,1094,2531,152
affectus,NOUN:Voc+Sing,affectus,affektus,4463,114,963,2861,525
affectus,NOUN:Abl+Sing,affectū,affektuː,4624,25,1273,3091,235
affectus,NOUN:Nom+Plur,affectūs,affektuːs,4463,114,963,2861,525
affectus,NOUN:Gen+Plur,affectuum,affektuum,344,2,39,147,156
affectus,NOUN:Dat+Plur,affectibus,affektibus,825,22,220,446,137
affectus,NOUN:Acc+Plur,affectūs,affektuːs,4463,114,963,2861,525
affectus,NOUN:Voc+Plur,affectūs,affektuːs,4463,114,963,2861,525
affectus,NOUN:Abl+Plur,affectibus,affektibus,825,22,220,446,137
ager,NOUN:Nom+Sing,ager,aɡer,1318,422,464,423,9
ager,NOUN:Gen+Sing,agrī,aɡriː,2052,563,827,645,17
ager,NOUN:Dat+Sing,agrō,aɡroː,2543,650,866,1003,24
ager,NOUN:Acc+Sing,agrum,aɡrum,1909,600,629,664,16
ager,NOUN:Voc+Sing,ager,aɡer,1318,422,464,423,9
ager,NOUN:Abl+Sing,agrō,aɡroː,2543,650,866,1003,24
ager,NOUN:Nom+Plur,agrī,aɡriː,2052,563,827,645,17
ager,NOUN:Gen+Plur,agrōrum,aɡroːrum,583,193,198,185,7
ager,NOUN:Dat+Plur,agrīs,aɡriːs,989,471,305,199,14
ager,NOUN:Acc+Plur,agrōs,aɡroːs,1524,798,418,290,18
ager,NOUN:Voc+Plur,agrī,aɡriː,2052,563,827,645,17
ager,NOUN:Abl+Plur,agrīs,aɡriːs,989,471,305,199,14
agger,NOUN:Nom+Sing,agger,aɡɡer,99,55,33,11,0
agger,NOUN:Gen+Sing,aggeris,aɡɡeris,39,9,14,15,1
agger,NOUN:Dat+Sing,aggerī,aɡɡeriː,12,8,1,3,0
agger,NOUN:Acc+Sing,aggerem,aɡɡerem,185,55,78,52,0
agger,NOUN:Voc+Sing,agger,aɡɡer,99,55,33,11,0
agger,NOUN:Abl+Sing,aggere,aɡɡere,270,143,72,54,1
agger,NOUN:Nom+Plur,aggerēs,aɡɡereːs,80,13,54,13,0
agger,NOUN:Gen+Plur,aggerum,aɡɡerum,24,0,20,4,0
agger,NOUN:Dat+Plur,aggeribus,aɡɡeribus,85,28,41,15,1
