cell_underspecified	cells
prs.act.ptcp.nom.f/m.pl	prs.act.ptcp.nom.f.pl,prs.act.ptcp.nom.m.pl
gdv.gen.m/n.sg	gdv.gen.m.sg,gdv.gen.n.sg
prs.act.ptcp.gen.f/m/n.sg	prs.act.ptcp.gen.f.sg,prs.act.ptcp.gen.m.sg,prs.act.ptcp.gen.n.sg
prf.pass.ptcp.gen.m/n.pl	prf.pass.ptcp.gen.m.pl,prf.pass.ptcp.gen.n.pl
gdv.gen.m/n.sg	gdv.gen.m.sg,gdv.gen.n.sg
fut.act.ptcp.dat.m/n.sg	fut.act.ptcp.dat.m.sg,fut.act.ptcp.dat.n.sg
gdv.abl.m/n.sg	gdv.abl.m.sg,gdv.abl.n.sg
fut.ptcp.acc.m/n.sg	fut.ptcp.acc.m.sg,fut.ptcp.acc.n.sg
gdv.dat.f/m/n.pl	gdv.dat.f.pl,gdv.dat.m.pl,gdv.dat.n.pl
prs.act.ptcp.gen.f/m/n.pl	prs.act.ptcp.gen.f.pl,prs.act.ptcp.gen.m.pl,prs.act.ptcp.gen.n.pl
prs.act.ptcp.dat.f/m/n.pl	prs.act.ptcp.dat.f.pl,prs.act.ptcp.dat.m.pl,prs.act.ptcp.dat.n.pl
prs.act.ptcp.acc.f/m.pl	prs.act.ptcp.acc.f.pl,prs.act.ptcp.acc.m.pl
gdv.abl.f/m/n.pl	gdv.abl.f.pl,gdv.abl.m.pl,gdv.abl.n.pl
gdv.dat.f/m/n.pl	gdv.dat.f.pl,gdv.dat.m.pl,gdv.dat.n.pl
gdv.dat.f/m/n.pl	gdv.dat.f.pl,gdv.dat.m.pl,gdv.dat.n.pl
prf.pass.ptcp.dat.m/n.sg	prf.pass.ptcp.dat.m.sg,prf.pass.ptcp.dat.n.sg
gdv.abl.m/n.sg	gdv.abl.m.sg,gdv.abl.n.sg
prs.act.ptcp.abl.f/m/n.pl	prs.act.ptcp.abl.f.pl,prs.act.ptcp.abl.m.pl,prs.act.ptcp.abl.n.pl
prs.act.ptcp.nom.f/m.pl	prs.act.ptcp.nom.f.pl,prs.act.ptcp.nom.m.pl
gdv.gen.m/n.sg	gdv.gen.m.sg,gdv.gen.n.sg
gdv.abl.f/m/n.pl	gdv.abl.f.pl,gdv.abl.m.pl,gdv.abl.n.pl
gdv.gen.m/n.sg	gdv.gen.m.sg,gdv.gen.n.sg
prf.pass.ptcp.gen.m/n.pl	prf.pass.ptcp.gen.m.pl,prf.pass.ptcp.gen.n.pl
gdv.dat.m/n.sg	gdv.dat.m.sg,gdv.dat.n.sg
prf.pass.ptcp.dat.m/n.sg	prf.pass.ptcp.dat.m.sg,prf.pass.ptcp.dat.n.sg
fut.act.ptcp.dat.m/n.sg	fut.act.ptcp.dat.m.sg,fut.act.ptcp.dat.n.sg
gdv.nom.m/n.sg	gdv.nom.m.sg,gdv.nom.n.sg
gdv.gen.m/n.pl	gdv.gen.m.pl,gdv.gen.n.pl
prf.pass.ptcp.dat.m/n.sg	prf.pass.ptcp.dat.m.sg,prf.pass.ptcp.dat.n.sg
prf.pass.inf.acc.m/n.sg	prf.pass.inf.acc.m.sg,prf.pass.inf.acc.n.sg
gdv.dat.f/m/n.pl	gdv.dat.f.pl,gdv.dat.m.pl,gdv.dat.n.pl
fut.act.ptcp.dat.f/m/n.pl	fut.act.ptcp.dat.f.pl,fut.act.ptcp.dat.m.pl,fut.act.ptcp.dat.n.pl
gdv.gen.m/n.pl	gdv.gen.m.pl,gdv.gen.n.pl
gdv.dat.m/n.sg	gdv.dat.m.sg,gdv.dat.n.sg
prf.pass.ptcp.voc.m/n.pl	prf.pass.ptcp.voc.m.pl,prf.pass.ptcp.voc.n.pl
prf.pass.ptcp.nom.m/n.sg	prf.pass.ptcp.nom.m.sg,prf.pass.ptcp.nom.n.sg
prf.pass.ptcp.gen.m/n.pl	prf.pass.ptcp.gen.m.pl,prf.pass.ptcp.gen.n.pl
prf.pass.ptcp.gen.m/n.sg	prf.pass.ptcp.gen.m.sg,prf.pass.ptcp.gen.n.sg
prf.pass.ptcp.dat.f/m/n.pl	prf.pass.ptcp.dat.f.pl,prf.pass.ptcp.dat.m.pl,prf.pass.ptcp.dat.n.pl
prf.pass.ptcp.gen.m/n.sg	prf.pass.ptcp.gen.m.sg,prf.pass.ptcp.gen.n.sg
gdv.dat.m/n.sg	gdv.dat.m.sg,gdv.dat.n.sg
gdv.abl.m/n.sg	gdv.abl.m.sg,gdv.abl.n.sg
prf.pass.ptcp.acc.m/n	prf.pass.ptcp.acc.m,prf.pass.ptcp.acc.n
gdv.dat.f/m/n.pl	gdv.dat.f.pl,gdv.dat.m.pl,gdv.dat.n.pl
fut.act.ptcp.gen.m/n.sg	fut.act.ptcp.gen.m.sg,fut.act.ptcp.gen.n.sg
gdv.abl.f/m/n.pl	gdv.abl.f.pl,gdv.abl.m.pl,gdv.abl.n.pl
fut.act.ptcp.dat.f/m/n.pl	fut.act.ptcp.dat.f.pl,fut.act.ptcp.dat.m.pl,fut.act.ptcp.dat.n.pl
fut.act.ptcp.gen.m/n.pl	fut.act.ptcp.gen.m.pl,fut.act.ptcp.gen.n.pl
prs.act.ptcp.voc.f/m/n.sg	prs.act.ptcp.voc.f.sg,prs.act.ptcp.voc.m.sg,prs.act.ptcp.voc.n.sg
fut.act.ptcp.dat.m/n.sg	fut.act.ptcp.dat.m.sg,fut.act.ptcp.dat.n.sg
gdv.gen.m/n.pl	gdv.gen.m.pl,gdv.gen.n.pl
prs.act.ptcp.acc.f/m/n.pl	prs.act.ptcp.acc.f.pl,prs.act.ptcp.acc.m.pl,prs.act.ptcp.acc.n.pl
