lexeme	systematicDefectiveness
ludus	none
lumen	none
luna	none
lupus	none
lux	none
luxuria	none
luxus	none
machina	none
maeror	none
magister	none
magistratus	none
magnitudo	none
maiestas	none
malum	none
mancipium	none
mandatum	none
manes	plurale tantum
manipulus	none
manus	none
mare	none
maritus	none
marmor	none
mater	none
materia	none
matrimonium	none
medicina	none
medicus	none
medium	none
mel	none
membrum	none
memor	none
memoria	none
mens	none
mensa	none
mensis	none
mensura	none
mercator	none
merces	none
meritum	none
merum	none
messis	none
metus	none
miles	none
militia	none
minae	plurale tantum
minister	none
ministerium	none
miseria	none
misericordia	none
moderatio	none
modestia	none
modus	none
moenia	plurale tantum
moles	none
momentum	none
mons	none
monstrum	none
monumentum	none
mora	none
morbus	none
mors	none
morsus	none
motus	none
mulier	none
multitudo	none
multum	none
mundus	none
munimentum	none
munitio	none
munus	none
murmur	none
murus	none
mutatio	none
naris	none
nata	none
natio	none
natura	none
natus	none
naufragium	none
nauigium	none
nauis	none
nauta	none
necessitas	none
necessitudo	none
negotium	none
nemus	none
nepos	none
nequitia	none
neruus	none
nex	none
nimbus	none
nix	none
nobilitas	none
nodus	none
nomen	none
nota	none
notitia	none
nouerca	none
nouitas	none
nox	none
nubes	none
numen	none
numerus	none
nummus	none
nuntius	none
nupta	none
nuptiae	plurale tantum
nurus	none
obliuio	none
obsequium	none
obses	none
occasio	none
occasus	none
occupatio	none
oceanus	none
ocellus	none
oculus	none
odium	none
odor	none
offensio	none
officium	none
omen	none
onus	none
opera	none
opinio	none
oppidanus	none
oppidum	none
oppugnatio	none
ops	none
opus	none
ora	none
oraculum	none
oratio	none
orator	none
orbis	none
ordo	none
origo	none
ornamentum	none
ortus	none
os1	none
os2	none
osculum	none
ostium	none
otium	none
ouis	none
pabulum	none
paelex	none
paenitentia	none
palma	none
palus	none
panis	none
parens	none
paries	none
parricida	none
pars	none
partus	none
passum	none
passus	none
pastor	none
pater	none
patientia	none
patria	none
patrimonium	none
patruus	none
pauci	plurale tantum
paucitas	none
pauor	none
paupertas	none
pax	none
pectus	none
pecunia	none
pecus1	none
pecus2	none
pelagus	singulare tantum
pellis	none
penates	plurale tantum
penna	none
perditus	none
perfidia	none
periculum	none
pernicies	none
persona	none
pes	none
pestis	none
petra	none
phalanx	none
pharetra	none
philosophia	none
philosophus	none
pietas	none
pignus	none
pilum	none
pinus1	none
pinus2	none
piscis	none
plaga	none
planities	none
plebes	none
poculum	none
poena	none
poeta	none
polus	none
pomum	none
pondus	none
pons	none
pontifex	none
pontus	none
populus	none
porta	none
portus	none
possessio	none
posteri	plurale tantum
postis	none
potentia	none
potestas	none
praeceptor	none
praeceptum	none
praeda	none
praefectus	none
praemium	none
praesentia	none
praesidium	none
praetura	none
pratum	none
pretium	none
prex	none
principium	none
probrum1	none
probrum2	none
procella	none
procer	none
proditor	none
proelium	none
progenies	none
proles	none
promissum	none
prora	none
prouincia	none
prudentia	none
pubes	none
publicum	none
pudicitia	none
pudor	none
puella	none
puer	none
pueritia	none
pugna	none
puluis	none
puppis	none
purpura	none
quaestio	none
quaestor	none
quercus	none
querela	none
questus	none
quies	none
rabies	none
radius	none
radix	none
ramus	none
ratio	none
ratis	none
rector	none
reditus	none
regia	none
regina	none
regio	none
regnum	none
regula	none
religio	none
reliquia	none
reliquum	none
remedium	none
remus	none
res	none
res-publica	none
responsum	none
reus	none
rex	none
ripa	none
risus	none
ritus	none
riuus	none
rixa	none
robur	none
rogus	none
rostrum	none
rota	none
rubor	none
ruina	none
rumor	none
rupes	none
rus	none
sacerdos	none
sacrum	none
saeculum	none
saeuitia	none
sagitta	none
sagittarius	none
saltus	none
salus	none
sanguis	none
sanitas	none
sapientia	none
sarcina	none
saxum	none
scaena	none
scelus	none
sceptrum	none
scientia	none
scopulus	none
scriptor	none
scutum	none
securis	none
securitas	none
sedes	none
seditio	none
seges	none
semen	none
senator	none
senatus	none
senecta	none
senectus	none
sensus	none
sententia	none
sepulcrum	none
series	none
sermo	none
sertum	none
seruitium	none
seruitus	none
seruus	none
sestertium	none
seueritas	none
sexus	none
sidus	none
signum	none
silentium	none
silua	none
similitudo	none
simulacrum	none
simulatio	none
sinus	none
sitis	none
situs	none
socer	none
societas	none
socius	none
sol	none
solacium	none
solitudo	none
sollicitudo	none
solum	none
somnium	none
somnus	none
sonitus	none
sonus	none
sopor	none
soror	none
sors	none
spatium	none
species	none
spectaculum	none
specus	none
spes	none
spiritus	none
spolium	none
spons	none
stabulum	none
stadium	none
stagnum	none
statio	none
statua	none
status	none
stella	none
stimulus	none
